id,name,language,original_language,first_air_date,overview,popularity,episode_count,season_count
35026,M Countdown,Korean,ko,2004-07-29,"M Countdown, the World No.1 K-POP Chart Show, is broadcast in 13 countries worldwide, including Mnet USA and Japan. Featuring a dazzling lineup of K-Pop stars delivering charismatic performances, spectacular stages, and even online voting for active fan engagement! M Countdown announces the top 10 songs of the week as ""MCD's Top 10"" by combining weekly album and song sales, online music fan votes, and votes from a panel of music experts. Viewers can directly vote for the winner during the live broadcast, providing a glimpse of the latest K-Pop trends. Since its debut in 2004, M COUNTDOWN has aired over 800 episodes as of 2023. Experience the WORLD NO.1 K-POP Premium Chart Show leading the global K-Pop craze and music trends.",44.4085,839,2
31271,Infinite Girls,Korean,ko,2007-10-15,"Infinite Girls is a Korean variety program. The program is an all-female version of a show called Infinite Challenge. The show's consisting of 3 seasons with 6 MC's as its mascots. Apparently, this show receives its golden peak in November 2009, hence it added 2 more seasons.",44.3913,153,3
96108,Stars' Top Recipe at Fun-Staurant,Korean,ko,2019-10-25,"Stars' Top Recipe at Fun-Staurant or Fun Restaurant is a new variety show where celebrities are competing to make a new F&B product for the convenience store franchise. The program looks at the celebs' daily lives that are filled with constant development on some exciting and delicious menus. Celebs compete every week, and the winner's cuisine turns to the product that will sell the stores the next day. The profits will be donated to support children. The casts are led by Lee Kyung-kyu, who has had his own development into an actual product, and Lee Young-ja, the Muk-bang genius, and food aficionado.",43.8755,185,1
128827,Hangeul Heroes A.I.YA,Korean,ko,2021-04-28,Two children summon the brave protectors of Hangeul to find the right letters of the Korean alphabet to input into their magic vending machine.,42.0804,309,1
46967,Golden Fish,Korean,ko,2010-05-03,"Golden Fish is a 2010 South Korean television series starring Park Sang-won, Lee Tae-gon, Jo Yoon-hee, and So Yoo-jin. The daily drama aired on MBC on Mondays to Fridays at 20:15 from May 3 to November 11, 2010 for 133 episodes.",41.5111,133,1
132544,Great Minds,Korean,ko,2021-08-30,,41.2371,724,4
70563,No Way I'm an Adult,Korean,ko,2015-09-10,,40.5833,213,4
200709,Weak Hero,Korean,ko,2022-11-18,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",40.1916,16,2
233686,Karma,Korean,ko,2025-04-04,"A fateful accident intertwines six lives in a thrilling tale of karma and crime, where each must face their own dark truths and connections.",39.5025,6,1
66619,Ya Shim Man Man,Korean,ko,2003-02-28,"Yashimmanman is a South Korean talk show. Citizens were surveyed about various questions, and celebrity guests had to guess the public's top answers to the questions, sparking much discussion.",39.4804,98,2
63573,My Dear Cat,Korean,ko,2014-06-09,"While looking for her lost cat, magazine journalist Go Yang-soon meets law school student and part-time photographer Yeom Chi-woong. Soon, they begin to get to know each other and each other's families.",39.4493,119,1
17039,Emperor Wang Gun,Korean,ko,2000-04-01,"Taejo Wang Geon was a 200-episode Korean drama starring Choi Soo Jong in the title role. It became very successful, reaching very high ratings, around 60%.",37.8929,200,1
129047,Take Off Your Shoes,Korean,ko,2021-07-13,Four DolSing (returning-single/divorced) men looking for happiness in life invite guests to their homes.,37.6694,173,1
112888,True Beauty,Korean,ko,2020-12-09,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",37.0817,16,1
233742,Newtopia,Korean,ko,2025-02-07,"Jae-yoon, a late military enlistee, and his girlfriend, Young-joo, break up over the phone over growing misunderstandings. But a zombie outbreak rocks the world. A national emergency is declared, a plane crashes in the city center, and Jae-yoon and his unit get trapped on top of a Seoul skyscraper. Young-joo risks the zombie-filled streets to find him. Can their love survive the apocalypse?",36.6113,8,1
128094,The Show,Korean,ko,2011-04-15,"The Show is a South Korean music television program broadcast by SBS MTV. It airs live every Tuesday and is broadcast from the SBS Prism Tower in Sangam-dong, Seoul, South Korea.",36.4954,275,7
28680,The King Dae Joyoung,Korean,ko,2006-09-16,"This 100-episode epic drama vividly depicts the life of King Dae Jo-yeong and other heroes of the Balhae Kingdom, which dates back 1300 years ago.",36.2367,134,1
24166,Wind Flower,Korean,ko,2005-01-31,,35.9262,179,1
21327,Bizarre Bunch,Korean,ko,2005-09-26,"The story follows an extended family's love dilemmas, family arguments and family secrets.",35.5647,170,1
61130,Only Love,Korean,ko,2014-06-02,"Kim Tae-yang is a physician and Choi Yoo-ri is a broadcasting producer. Choi Jae-min is a dandy-ish executive at a clothing company and Kim Saet-byul is an unwed mother. Kim Woo-joo is much younger than Hong Mi-rae. As these three couples fall in love, they explore issues of age difference, blood ties and adoption, and wealth and poverty.",35.2477,123,1
80281,Larva,Korean,ko,2011-03-26,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,34.6553,338,5
55076,Princess Aurora,Korean,ko,2013-05-20,"Oh Ro-ra is a 25-year-old woman whose family owns Chunwang Foods, a large food conglomerate. Both of her parents are in their seventies and a 20-plus age difference exists between Ro-ra and her three other male siblings - Wang-sung, Geum-sung and Soo-sung. As the youngest child of a wealthy family, Ro-ra is charming, uber-confident and seemingly a spoiled material girl, but there's more to her than meets the eye. Unafraid to speak her mind, she intervenes to salvage her 50-year-old second brother's marriage by getting rid of his mistress who had lied about getting pregnant. One day, she falls head over heels for Hwang Ma-ma, an irritable novelist and perfectionist. But he has one flaw that could torpedo their relationship.",33.9906,150,1
225532,BTS EPISODE,Korean,ko,2013-06-12,"BTS Episode are behind the scenes videos featuring the members of BTS, uploaded on their Youtube channel.",33.6822,176,12
82063,My Only One,Korean,ko,2018-09-15,"A woman's life gets twisted one day because of her biological father who shows up after 28 years of absence. He had been thoroughly hiding his identity, afraid that he might be an obstacle in his daughter's life. The father and daughter meet the ""only ones"" in their lives and put back together the pieces of their broken hearts.",33.6302,106,1
39004,Love Can't Wait,Korean,ko,2006-01-02,Does a high school senior only have to study? A naive high school girl's big plan to get married!  It is a special love story of a high school senior at a girls school with an IQ of 98 but ranking first in looks in her school and of a poor college student studying law.,33.2692,123,1
76033,Master In The House,Korean,ko,2017-12-31,"Almost everyone has a question regarding life and the goal of life. In order to find the answer, the four young men with full of curiosity regarding their lives, Lee Seung Gi, Lee Sang Yun, Yuk Seong Jae, and Yang Se Hyeong, head to find their master to learn things and get a correct answer. They find the master and spend a day in the master’s place to learn things that they didn’t know, and wish to know. Whom will they get to meet? And what will they learn throughout the stay?",33.0734,254,2
113268,The Uncanny Counter,Korean,ko,2020-11-28,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.",33.0494,30,3
74719,Always Spring,Korean,ko,2016-10-31,"Through the comparison of conditional and pure love, this drama looks into the understanding of realistic love and marriage by the young generation today and looks for the true meaning of love and marriage.",32.8225,122,1
60328,"My Love, Madame Butterfly",Korean,ko,2012-10-06,"The story about a former top star Nam Na-bi who is getting married, moves into her in-laws' house and becomes a part of their family, going through various happenings with her in-laws and realizing the meaning of family in the process.",32.7977,51,1
83191,Happiness Giver,Korean,ko,2016-11-21,"A story about a woman who tries to protect a famous child star that she raises with love against a harsh and exploitative entertainment industry, including from the child's real mother.",32.3925,118,1
195659,You Are The Only One,Korean,ko,2014-11-24,"The birth of multi-family living under the same roof! In this generation, there is a staggering number of singles across all ages who are opting to live in a shared home in an attempt to save money. In one of these shared homes, there lives a woman who was once a producer but is now a fruit vendor. There's a middle-aged woman who was abandoned by her husband and family. There's even a single father and a foreigner as well. As different as their backgrounds are, the house somehow brings them together. A daughter who was abandoned by her mother shares her pain with a mother who was abandoned by her family. Through some tragic and sometimes hilarious moments, this unlikely family comes together and causes viewers to reexamine the meaning of family in this new age.",31.7934,120,1
128847,Yellow Handkerchief,Korean,ko,2003-02-03,"Sang-min wants success in life, and in pursuit of success, he abandons his ten-year relationship with Ja-yeong to marry his boss’ daughter, Min-ju. Ja-yeong finds herself pregnant and raising a child alone. When Sang-min finds out, the battle over custody of child begins. This drama became a number one hit and captured more than 30% of viewers during its broadcast while unraveling the mysteries of waiting, forgiveness and above all - the value of love.",31.7561,169,1
72237,Miniforce,Korean,ko,2014-09-03,Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains.,31.5792,238,10
62431,What Are We Eating Today?,Korean,ko,2014-09-22,"Fun and Easy Cooking by Two Guys. In Shin Don-yub and Sung Si-kyung’s kitchen, they show you how to fix delicious and easy meals. No tricky recipes here, so anybody can do it!",31.5327,129,2
117393,SJ Returns,Korean,ko,2017-10-09,Super Junior's VLive variety show.,31.0959,288,5
78358,Level Up! Project,Korean,ko,2017-07-27,"One of the most popular Korean girl's groups, Red Velvet, is filming their first travel reality show.",30.6901,157,5
18381,Chunja's Happy Events,Korean,ko,2008-05-19,"Chunja's Happy Events, also called Happy Events at Chunja's or Chunja's Special Day, was a Korean TV drama that aired from May 19, 2008 to November 13, 2008 on MBC.",30.5071,111,1
62607,Love From Today,Korean,ko,2015-04-06,A drama about a woman who finally becomes a part of a family after re-adoption and man who chooses love over family.,30.2512,101,1
79069,Sunny Again Tomorrow,Korean,ko,2018-05-07,"After being fired from her job at a TV home shopping channel, Ha-Nee decides to start her own fashion company and soon becomes involved with Han-Kyul, a merchandiser for the shopping channel.",30.1245,121,1
29161,End of Love,Korean,ko,2006-01-31,,29.1581,130,1
73048,SNL Korea,Korean,ko,2011-12-03,"Korea's version of the late-night live television sketch comedy and variety show. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory cast members.",29.117,207,9
39068,You are My Destiny,Korean,ko,2008-05-05,"Jang Sae-byuk is a cheerful and grateful orphan who always tries her best. She dreams of one day becoming an interior designer, despite her lack of education and money. Because of an accident that happened before the story starts (about three years ago), she loses her sight and undergoes corneal transplant surgery. Different events unravel when she encounters the Kim family, who has lost a daughter in a horrible car crash, unbeknownst to everyone besides the father and older brother. The stories then intertwine when Sae-byuk meets the Kim's extended family and the son of a big interior design company, Lohas, in Korea.",29.0563,178,1
14534,Immortal Admiral Yi Sun-sin,Korean,ko,2004-09-04,"Admiral Yi Sun-shin, who led the Joseon Navy to a myth of invincibility during the Hideyoshi invasion, was a true soldier and leader who struggled to protect people. Drama Yi Sun-shin is not a biography of Admiral Yi Sun-shin, nor does it inetnd to reconstruct a part of the Joseon Dynasty that existed in the 16th century. This drama will merely look into many human beings, incliuding Yi Sun-shin, who underwent an extreme situation. It is not just a historical drama series. It’s rather about human nature that makes both of the war and peace. It is a Korean version of “War and Peace” in 21st century. No hero has ever been sent by heaven. He has emerged as one ultimately after undergoing a lifelong process. Drama Yi Sun-shin is designed to shed a new light upon him as a human being.",29.0052,107,2
120555,Huh Young Man's Food Travel,Korean,ko,2019-05-14,"Traveling across Korea to enjoy the heartiest meals, manhwa artist Huh Young-man invites guests to join him for tasty dishes and genuine conversation.",28.9806,245,2
65420,The Promise,Korean,ko,2016-02-01,"Na-Yeon is a bright woman. She supports her boyfriend Tae-Joon, who is from a poor background, and has even given up entering a university. But Tae-Joon dumps her for his success and goes with Se-Jin, who is a granddaughter of Baekdoo Company president. Do-Hee is Na-Yeon’s twin sister. She is arrogant and tough. Do-Hee works as a reporter at a weekly magazine. After Na-Yeon’s death, Do-Hee decides to take revenge. She takes on the identity of her sister Na-Yeon. Do-Hee then meets Hwi-Kyung, who is successor of Baekdoo Company.",28.9191,102,1
57708,Jolly Widows,Korean,ko,2009-06-29,"Two women became widows on the same day, same hour. Ha Yoon Jeong becomes the matriarch of the family of her husband. Yoon Jeong supports them because she feels guilty about her husband's disappearance. Oh Dong Ja, Yoon Jeong's sister-in-law, has been living with Yoon Jeong's help as well. After the terrifying day of losing their husbands, the two women have been living as each other's good companions.  However, now they become implacable enemies because of their children! What would happen if their daughters rival each other in love? What would happen if Yoon Jeong's husband, who everyone thought was dead, appears before them as the future father-in-law of Dong Ja's son? Could Yoon Jeong and Dong Ja's relation go back to the good old days?",28.7477,155,1
66130,그것이 알고싶다,Korean,ko,1992-03-31,,28.5019,638,2
74035,Yo! Welcome to Korea!,Korean,ko,2017-07-27,This Korean reality vacation show explores the cultural differences of foreigners who are in Korea for the first time through their Korean vacation travel log.,28.4976,509,4
235110,난 네게 반했어,Korean,ko,2008-04-21,,28.3985,156,1
44615,Two Wives,Korean,ko,2009-05-04,.,28.0055,120,1
95657,The Return of Hwang Geum-bok,Korean,ko,2015-06-08,"Geum-Bok (Shin Da-Eun) is ashamed of her mother (Jeon Mi-Sun) who works as a street cleaner. Her mother, as a single mother, has worked hard to support Geum-Bok. Geum-Bok's feelings for for her mother begin to change. On their first trip, Geum-Bok's mother disappears and Geum-Bok is now all alone.",27.9277,126,2
197566,See and See Again,Korean,ko,1998-03-02,"A family drama about the entangled conflict, love, and reconciliation of the characters around them, centered on Mammal's eldest daughter Jin Ju and Eun Ju's sister Eun Ju, who grew up with her parents' love.",27.8636,273,1
84542,"My Neighbor, Charles",Korean,ko,2018-11-29,"From following Koreans version of Billy Elliot to  Daily routines, language acquisition, and culture differences this  comedy-reality show is all about Korean culture and how foreigners deal with it",27.8197,189,1
97010,Living Among the Rich,Korean,ko,2011-12-05,"Ji-Eun is thrilled to hear that her mother Hye-Ja is moving to Cheongdam neighborhood. Hye-Ja & Ji-Eun lived in the suburbs for thier whole life. Ji-Eun dreams of living a luxurious life, but her reality is quite different. The house they move into is on the 2nd story of a building which looks like it will collapse. The first floor of the building is a comic book shop and the second floor is a lodging house. Their building is located between luxurious buildings in Cheongdam neighborhood.",27.7952,170,1
49036,Love Stories in the Countryside,Chinese,zh,2006-09-30,,93.5023,809,17
76806,Tales of Demons and Gods,Chinese,zh,2017-05-09,"In his past life, although too weak to protect his home when it counted, out of grave determination Nie Li became the strongest Demon Spiritist and stood at the pinnacle of the martial world. However, he lost his life during the battle with the Sage Emperor and six deity-ranked beasts. His soul was then brought back to when he was still 13 years old. Although he's the weakest in his class with the lowest talent, having only a red soul realm and a weak one at that, with the aid of the vast knowledge which he accumulated from his previous life, he decided to train faster than anyone could expect. He also decided to help those who died nobly in his previous life to train faster as well. He aims to protect the city from the coming future of being devastated by demon beasts and the previous fate of ending up destroyed. He aims to protect his lover, friends, family and fellow citizens who died in the beast assault or its aftermath.",79.4167,720,8
79481,Fights Break Sphere,Chinese,zh,2017-01-07,"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?",74.9161,263,6
44277,Amazing Detective Di Renjie,Chinese,zh,2004-08-05,"Di Renjie is Tang dynasty magistrate and statesman, who investigates mysterious murders.",59.912,212,5
40521,Home with Kids,Chinese,zh,2005-02-12,"Xia Donghai returns to China with his son to reunite with his daughter and marries Liu Mei, a nurse with her own son. The blended family navigates different parenting styles and the mischievous behavior of their children, leading to both humorous and challenging situations.",57.3034,367,4
98031,Keep Running,Chinese,zh,2014-10-10,"Hurry Up, Brother! is a Chinese variety show based off the original Korean variety show, Running Man. It is created by SBS and co-produced with Zhejiang Television. It first aired on October 10, 2014. This show is classified as a game-variety show, where the MCs and guests complete missions in a landmark to win a race. In 2017, the show officially changed its name to ""Keep Running"".",56.0581,208,13
279182,Super Cube,Chinese,zh,2025-03-21,"In an accident, an ordinary boy, Wang Xiaoxiu, obtains a space system called ""Superpower Cube"" from a high-latitude cosmic civilization and gains extraordinary powers. When the school belle, Shen Yao, Wang Xiaoxiu’s longtime crush, confesses her love to him, the delinquent Sun Jun, who also has a crush on her, is provoked. Wang Xiaoxiu resolves the crisis with his wit and extraordinary powers, but it also brings more disasters as a result. Shen Yao is taken to the world of extraordinary beings by a mysterious person, and Wang Xiaoxiu embarks on a journey to rescue her. Fighting in the bizarre universe, he finds the meaning of fairness and justice on the path to becoming a peerless powerhouse.",55.2498,48,1
272059,TO BE HERO X,Chinese,zh,2025-04-06,"In a world full of brilliant heroes, it’s the trust of fans that turns heroes into superheroes. If a hero loses the people’s trust, they lose their special abilities. Trust value is collected, quantified, and used to determine a hero’s ranking, displayed on their wrist. Every two years, the top heroes go to a tournament to fight, determine new trust values, and earn their rankings.",53.9453,6,1
201900,Dee Girls Talk,Chinese,zh,2022-02-14,,51.8462,762,2
217772,GG Bond,Chinese,zh,2006-07-01,,49.1845,1307,41
74561,Who's the Murderer,Chinese,zh,2016-03-27,"The cast is introduced to the settings and suspects of a murder case for the new episode. The cast then chooses their role in the episode, as a particular suspect or the detective.",48.9593,386,11
